MMSI,MMSI_String,ShipName,latitude,longitude,time_utc,Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,port
565643000,565643000,DAVINA              ,1.226205,103.71224000000001,2025-07-13T11:32:05.239476+00:00,359.7,84282,1.226205,103.71224000000001,3,1,False,False,0,0,0.0,0,0,5,118,565643000,True,singapore
636019077,636019077,CORDOBA,1.2035449999999999,103.80102166666667,2025-07-13T11:32:05.722479+00:00,197.0,2803,1.2035449999999999,103.80102166666667,3,5,False,False,0,0,0.0,0,0,13,130,636019077,True,singapore
563038700,563038700,MARINE SELENA       ,1.189165,103.79501666666667,2025-07-13T11:32:05.798435+00:00,260.7,0,1.189165,103.79501666666667,3,0,False,False,127,0,7.6,0,0,3,266,563038700,True,singapore
563603000,563603000,STAR QUEST          ,1.2116666666666667,103.86062666666666,2025-07-13T11:32:06.497681+00:00,45.9,164076,1.2116666666666667,103.86062666666666,1,0,False,False,0,0,3.8,0,0,7,50,563603000,True,singapore
357231000,357231000,ATHENA,1.2540166666666666,103.62399833333333,2025-07-13T11:32:06.763125+00:00,292.0,0,1.2540166666666666,103.62399833333333,3,5,False,False,0,0,0.0,0,0,3,270,357231000,True,singapore
564885000,564885000,OCEAN FLYTE         ,1.260995,103.81289333333334,2025-07-13T11:32:07.439114+00:00,88.9,2209,1.260995,103.81289333333334,1,0,True,True,-128,0,6.6,0,0,6,511,564885000,True,singapore
309839000,309839000,SYMPHONIC BREEZE    ,1.1724616666666667,103.705915,2025-07-13T11:32:08.188619+00:00,239.3,85834,1.1724616666666667,103.705915,3,1,False,False,-7,0,0.2,0,0,6,145,309839000,True,singapore
525108015,525108015,PANGALENGAN         ,1.2433066666666666,103.79066166666667,2025-07-13T11:32:08.298911+00:00,94.4,229679,1.2433066666666666,103.79066166666667,1,0,False,False,0,0,4.8,0,0,4,97,525108015,True,singapore
312871000,312871000,SEA PELICAN         ,1.2703883333333332,103.85540666666667,2025-07-13T11:32:08.411869+00:00,360.0,2308,1.2703883333333332,103.85540666666667,1,15,True,True,-128,0,0.2,0,0,7,511,312871000,True,singapore
538008946,538008946,INFERRO             ,1.181735,103.84860666666667,2025-07-13T11:32:09.367900+00:00,70.3,65877,1.181735,103.84860666666667,1,0,True,False,-9,0,12.1,0,0,7,69,538008946,True,singapore
