MMSI,MMSI_String,ShipName,latitude,longitude,time_utc,Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,port
419001313,419001313,JAG LOKESH          ,33.728225,-118.15442,2025-07-13T11:32:23.553278+00:00,285.3,86586,33.728225,-118.15442,3,1,False,False,0,0,0.0,0,0,24,275,419001313,True,los_angeles
416464000,416464000,YM UNICORN          ,33.755833333333335,-118.27483333333333,2025-07-13T11:32:24.180562+00:00,151.1,82070,33.755833333333335,-118.27483333333333,1,0,False,False,0,0,3.0,0,0,23,147,416464000,True,los_angeles
338241000,338241000,MAERSK KINLOSS,33.731813333333335,-118.24880333333334,2025-07-13T11:32:26.869442+00:00,70.6,85434,33.731813333333335,-118.24880333333334,3,5,False,False,0,0,0.0,0,0,25,71,338241000,True,los_angeles
351124000,351124000,AMERICAN HIGHWAY    ,33.73813666666667,-118.20931666666667,2025-07-13T11:32:27.058797+00:00,312.6,82133,33.73813666666667,-118.20931666666667,1,0,True,False,0,0,6.4,0,0,25,313,351124000,True,los_angeles
367471080,367471080,ISABEL L            ,33.72796,-118.27174833333333,2025-07-13T11:32:27.415360+00:00,161.3,4784,33.72796,-118.27174833333333,3,0,True,False,0,0,5.9,0,0,28,161,367471080,True,los_angeles
368171390,368171390,BROOKS M HAMILTON   ,33.73120166666667,-118.26097166666666,2025-07-13T11:32:28.258892+00:00,263.1,33819,33.73120166666667,-118.26097166666666,1,0,True,False,0,0,0.0,0,0,26,338,368171390,True,los_angeles
563201600,563201600,WAN HAI A05         ,33.758568333333336,-118.25934333333333,2025-07-13T11:32:28.464463+00:00,220.4,84938,33.758568333333336,-118.25934333333333,3,5,False,False,0,0,0.0,0,0,27,38,563201600,True,los_angeles
338366226,338366226,V.A.POINT VICENTE   ,33.716415,-118.23880333333334,2025-07-13T11:32:29.249563+00:00,253.1,230466,33.716415,-118.23880333333334,1,0,False,False,0,0,24.9,0,0,29,254,338366226,True,los_angeles
366998840,366998840,MILLENIUM MAVERICK  ,33.753366666666665,-118.27308333333333,2025-07-13T11:32:30.076464+00:00,153.8,33884,33.753366666666665,-118.27308333333333,1,0,False,False,127,0,3.1,0,0,30,348,366998840,True,los_angeles
338602000,338602000,BALTIMORE           ,33.73495,-118.23197333333333,2025-07-13T11:32:30.104789+00:00,292.0,33889,33.73495,-118.23197333333333,1,15,False,False,0,0,0.2,0,0,35,150,338602000,True,los_angeles
368165820,368165820,V.A.POINT FERMIN    ,33.723355,-118.28055166666667,2025-07-13T11:32:30.952023+00:00,227.8,82071,33.723355,-118.28055166666667,1,0,True,True,-128,0,0.1,0,0,31,511,368165820,True,los_angeles
367401030,367401030,DELTA BILLIE        ,33.755383333333334,-118.21520833333334,2025-07-13T11:32:31.461288+00:00,199.0,165012,33.755383333333334,-118.21520833333334,1,0,False,False,-127,0,2.8,0,0,15,179,367401030,True,los_angeles
368133450,368133450,DARELL HIATT        ,33.72734166666667,-118.19542166666666,2025-07-13T11:32:32.669925+00:00,161.9,23635,33.72734166666667,-118.19542166666666,3,12,True,False,0,0,0.1,0,0,31,249,368133450,True,los_angeles
366768030,366768030,STARSHIP EXPRESS    ,33.762411666666665,-118.19915166666667,2025-07-13T11:32:35.192405+00:00,228.0,0,33.762411666666665,-118.19915166666667,3,5,True,False,-128,0,0.0,0,0,33,511,366768030,True,los_angeles
413171000,413171000,XIN FEI ZHOU        ,33.741036666666666,-118.197455,2025-07-13T11:32:35.280610+00:00,282.7,86010,33.741036666666666,-118.197455,3,5,False,False,0,0,0.0,0,0,35,270,413171000,True,los_angeles
367006770,367006770,ROBYN J             ,33.72907333333333,-118.27569,2025-07-13T11:32:37.482654+00:00,273.0,34167,33.72907333333333,-118.27569,1,0,True,True,0,0,0.0,0,0,36,128,367006770,True,los_angeles
366755010,366755010,MASTER,33.740291666666664,-118.27810166666667,2025-07-13T11:32:38.177554+00:00,196.3,22144,33.740291666666664,-118.27810166666667,1,15,True,False,0,0,0.0,0,0,38,11,366755010,True,los_angeles
636024330,636024330,HMM TOPAZ           ,33.72972166666667,-118.256565,2025-07-13T11:32:38.760856+00:00,184.4,84938,33.72972166666667,-118.256565,3,5,False,False,0,0,0.0,0,0,36,250,636024330,True,los_angeles
