MMSI,MMSI_String,ShipName,latitude,longitude,time_utc,Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,port
244070288,244070288,RPA 13,51.88917,4.417248333333333,2025-07-13T11:32:04.771119+00:00,360.0,13587,51.88917,4.417248333333333,3,0,True,True,-128,0,0.0,0,0,4,511,244070288,True,rotterdam
244700533,244700533,DWS 14,51.89727166666667,4.460973333333333,2025-07-13T11:32:04.795306+00:00,360.0,114998,51.89727166666667,4.460973333333333,1,4,True,True,-128,0,0.0,0,0,4,511,244700533,True,rotterdam
244167000,244167000,MERCUUR             ,51.889485,4.312958333333333,2025-07-13T11:32:04.954242+00:00,172.0,32950,51.889485,4.312958333333333,1,0,True,False,0,0,0.0,0,0,4,356,244167000,True,rotterdam
211455300,211455300,SCHLOSS MAINAU,51.885713333333335,4.282706666666667,2025-07-13T11:32:05.324111+00:00,0.0,84202,51.885713333333335,4.282706666666667,3,5,False,False,-128,0,0.0,0,0,4,511,211455300,True,rotterdam
375542000,375542000,AQUA POLLUX         ,51.898111666666665,4.4136299999999995,2025-07-13T11:32:06.189641+00:00,17.0,85066,51.898111666666665,4.4136299999999995,3,5,False,False,0,0,0.1,0,0,5,36,375542000,True,rotterdam
205505590,205505590,BANCO               ,51.873108333333334,4.31019,2025-07-13T11:32:06.323346+00:00,347.0,2200,51.873108333333334,4.31019,1,7,True,True,-128,0,0.6,0,1,6,511,205505590,True,rotterdam
245505000,245505000,HEBO CAT 7          ,51.8715,4.310866666666667,2025-07-13T11:32:06.659822+00:00,282.9,215130,51.8715,4.310866666666667,3,5,True,False,0,0,0.0,0,0,5,162,245505000,True,rotterdam
244730568,244730568,DUENDE   ,51.91219666666667,4.487515,2025-07-13T11:32:07.450919+00:00,216.2,33044,51.91219666666667,4.487515,1,0,True,True,-128,0,9.6,0,1,7,511,244730568,True,rotterdam
244700582,244700582,CHARLOTTE,51.89144833333333,4.319153333333333,2025-07-13T11:32:07.460615+00:00,138.1,78211,51.89144833333333,4.319153333333333,3,0,True,True,-128,0,6.1,0,0,7,511,244700582,True,rotterdam
244820300,244820300,MSTX 7,51.90346833333333,4.484346666666666,2025-07-13T11:32:07.733571+00:00,326.8,98590,51.90346833333333,4.484346666666666,2,0,True,True,-128,0,0.0,0,0,7,511,244820300,True,rotterdam
